Unnamed: 0,SOFT CITRUS,Unnamed: 2
NOV,NOVA,SOFT CITRUS
ONO,NOVA CLEMENVILLA,SOFT CITRUS
NMA,NOVA MANDARIN,SOFT CITRUS
NOA,NOVA ARC MANDARIN,SOFT CITRUS
NOS,NOVA SEEDLESS,SOFT CITRUS
NUL,NULES CLEMENTINES,SOFT CITRUS
NLC,NULES CLEMENTINE MANDARIN,SOFT CITRUS
NTC,NULES CLEMENTINE TANGERINE,SOFT CITRUS
NUM,NULES MANDARINS,SOFT CITRUS
NUT,NULES TANGERINES,SOFT CITRUS
OCT,OCTUBRINA CLEMENTINE,SOFT CITRUS
OCM,OCTUBRINA MANDARIN,SOFT CITRUS
OAT,OCTUBRINA TANGERINE,SOFT CITRUS
OKM,OKITSU WASE MANDARINS,SOFT CITRUS
OKI,OKITSU WASE SATSUMAS,SOFT CITRUS
OIT,ORIT,SOFT CITRUS
ORG,OROGRANDE CLEMENTINES,SOFT CITRUS
OGM,OROGRANDE MANDARINS,SOFT CITRUS
OGT,OROGRANDE TANGERINES,SOFT CITRUS
OOG,OROGROS,SOFT CITRUS
ORN,ORONULES CLEMENTINES,SOFT CITRUS
ONM,ORONULES MANDARINS,SOFT CITRUS
ONT,ORONULES TANGERINES,SOFT CITRUS
OVL,OROVAL CLEMENTINES,SOFT CITRUS
OVM,OROVAL MANDARINS,SOFT CITRUS
OVT,OROVAL TANGERINES ,SOFT CITRUS
ORT ,ORTANIQUE MANDARIN,SOFT CITRUS
ORM,ORRI ,SOFT CITRUS
RMN,ORRI MANDARINS,SOFT CITRUS
OWM,OWARI MANDARINS,SOFT CITRUS
OWA,OWARI SATSUMAS,SOFT CITRUS
PAG,PAGE ,SOFT CITRUS
PAM,PAGE MANDARINS,SOFT CITRUS
PTE,PATENSIE EARLY,SOFT CITRUS
PAE,PATENSIE EARLY MANDARINS,SOFT CITRUS
QUE,QUEEN,SOFT CITRUS
QMD,QUEEN MANDARINS,SOFT CITRUS
R01,RBC 01,SOFT CITRUS
RCT,RBC 01(CLEM OLE),SOFT CITRUS
BCM,RBC 01 MANDARIN,SOFT CITRUS
RHM,RHM,SOFT CITRUS
RMT,RHM MURCOTT,SOFT CITRUS
RMM,RHM MANDARINS,SOFT CITRUS
RSH,RISHON,SOFT CITRUS
ROL,ROYAL,SOFT CITRUS
RYH,ROYAL HONEY MURCOTT,SOFT CITRUS
SBA,SAMBA,SOFT CITRUS
SAM,SAMBA MANDARINS,SOFT CITRUS
SAT,SATSUMAS,SOFT CITRUS
SCA,SCARLET,SOFT CITRUS
SHN,SHANIT,SOFT CITRUS
TLS,SHANIT LS ,SOFT CITRUS
HMS,SHANIT MANDARIN,SOFT CITRUS
STG,SHASTA GOLD,SOFT CITRUS
TD2,Shasta Gold TDE2 Mandarins,SOFT CITRUS
SIG,SIGAL,SOFT CITRUS
IGM,SIGAL MANDARIN,SOFT CITRUS
SNE,SONET ,SOFT CITRUS
SDR,SONET MANDARIN,SOFT CITRUS
SRE,SRA 63 CLEMENTINES,SOFT CITRUS
SRM,SRA 63 MANDARINS,SOFT CITRUS
SRT,SRA 63 TANGERINES,SOFT CITRUS
SWS,SWEET SPRING,SOFT CITRUS
SWP,SWEET SPRING MANDARINS,SOFT CITRUS
THG,TAHOE GOLD,SOFT CITRUS
TMA,TAMAR,SOFT CITRUS
TMM,TAMAR MANDARIN ,SOFT CITRUS
TAM,TAMBOR,SOFT CITRUS
TGL,TANGELO,SOFT CITRUS
TGR,TANGERINES,SOFT CITRUS
TAG,TANGO,SOFT CITRUS
TGM,TANGO MANDARINS,SOFT CITRUS
TNL,TANOR ,SOFT CITRUS
TMN,TANOR MANDARINS,SOFT CITRUS
TEM,TEMPLE,SOFT CITRUS
TTM,THORO TEMPLE,SOFT CITRUS
TTP,THORO TEMPLE MANDARINS,SOFT CITRUS
UNM,UENO MANDARINS,SOFT CITRUS
UNS,UENO SATSUMA,SOFT CITRUS
VGD,VALLEY GOLD,SOFT CITRUS
WNL,WINOLA,SOFT CITRUS
YIF,YIFAT,SOFT CITRUS
FAM,YIFAT MANDARIN,SOFT CITRUS
YMG,YOSEMITE GOLD,SOFT CITRUS
TD4,YOSEMITE GOLD TDE4 MANDARINS,SOFT CITRUS
