Unnamed: 0,GRAPES,Unnamed: 2
MDR,MUSCAT D'ALEXANDRIE ROUGE,GRAPES
MSD,MUSCAT DELIGHT,GRAPES
MSS,MUSCAT SEEDLESS,GRAPES
MSU,MUSCAT SUPREME,GRAPES
MUS,MUSKA,GRAPES
MYS,MYSTERY,GRAPES
MFM,MYSTERY/FLAME SEEDLESS,GRAPES
NA1,NAVSEL 1,GRAPES
NA2,NAVESL 2,GRAPES
NA3,NAVSEL 3,GRAPES
NA6,NAVSEL 6,GRAPES
N44,NAVSEL 44,GRAPES
NWC,NEW CROSS,GRAPES
NMR,NUMBER 10/18/3,GRAPES
N13,NUMBER 13/14,GRAPES
N24,NUMBER 1324,GRAPES
N18,NUMBER 18/13,GRAPES
NR6,NUMBER 6/17,GRAPES
NTF,NUMBER12/14,GRAPES
OLV,OLIVETTE,GRAPES
PRD,PERIDOT ,GRAPES
PIR,PIROBELLA,GRAPES
SG1,PLUTO,GRAPES
SGG,PLUTO/SUGRAONE,GRAPES
PSE,PRIME ,GRAPES
P10,PRIME/ARRATEN,GRAPES
PAT,PRIME/ARRATWENTYNINE,GRAPES
PFR,PRIME/ARRATWENTYNINE(ARRA PASSION FIRE™),GRAPES
MEP,PRIME/CERISE,GRAPES
PMC,PRIME/CRIMSON SEEDLESS,GRAPES
MDP,PRIME/DESERT,GRAPES
PRW,PRIME/DESERT DAWN,GRAPES
PFM,PRIME/FLAME SEEDLESS,GRAPES
PFT,PRIME/FLAME SEEDLESS/ SUGRATHIRTEEN,GRAPES
PFX,PRIME/FLAME SEEDLESS/SUGRASIXTEEN,GRAPES
PME,PRIME/GRAPAES(EARLY SWEET™),GRAPES
PIC,PRIME/IFG 68-175 (SWEET CELEBRATION™),GRAPES
INP,PRIME/IFG NINETEEN (CANDY HEARTS™),GRAPES
PMR,PRIME/RALLI SEEDLESS,GRAPES
PRS,PRIME/RALLI SEEDLESS/ SUGRATHIRTEEN,GRAPES
IME ,PRIME/SCARLET DEW,GRAPES
PSK,PRIME/SHEEGENE 12 (KRISSY™),GRAPES
PTI,PRIME/SHEEGENE 13(TIMCO™) ,GRAPES
12P,PRIME/SHEEGENE12,GRAPES
MPS,PRIME/STARLIGHT,GRAPES
PSS,PRIME/SUGRAONE,GRAPES
PSX,PRIME/SUGRASIXTEEN,GRAPES
PSG,PRIME/SUGRATHIRTEEN,GRAPES
PSB,PRIME/SUGRATHIRTEEN (MIDNIGHT BEAUTY®) ,GRAPES
PSM,PRIME/SUNRED SEEDLESS,GRAPES
PTW,PRIME/TAWNY SEEDLESS,GRAPES
QVY,QUEEN OF THE VINEYARD,GRAPES
QBY,QUEEN RUBY,GRAPES
RAL,RALLI SEEDLESS,GRAPES
R15,RALLI SEEDLESS/ARRAFIFTEEN (ARRA SWEETIES™),GRAPES
RTW,RALLI SEEDLESS/ARRAFIFTEEN/ (ARRA SWEETIES™)BLAGRATWO (MELODY™),GRAPES
ASK,RALLI SEEDLESS/IFG TEN (SWEET GLOBE™),GRAPES
RIC,RALLI SEEDLESS/IFG ELEVEN (SUGRA CRISP®),GRAPES
RLM,RALLI SEEDLESS/SUGRAONE,GRAPES
RLR,RALLI SEEDLESS/SUGRASIXTEEN,GRAPES
RLT,RALLI SEEDLESS/SUGRATHIRTEEN,GRAPES
RCH,RALLI SEEDLESS/SUGRATWELVE ,GRAPES
REM,RED EMPEROR,GRAPES
RGB,REDGLOBE,GRAPES
RTH,REDGLOBE/THOMPSON SEEDLESS,GRAPES
RGT,REGAL SEEDLESS,GRAPES
RGY,REGAL SEEDLESS/BLAGRATWO(MELODY™),GRAPES
RGJ,REGAL SEEDLESS/ JOYBELLS,GRAPES
RAM,REGAL SEEDLESS/AUTUMN ROYAL,GRAPES
MRE,REGAL SEEDLESS/CERISE,GRAPES
RCM,REGAL SEEDLESS/CRIMSON SEEDLESS,GRAPES
RFM,REGAL SEEDLESS/FLAME SEEDLESS,GRAPES
RFX,REGAL SEEDLESS/FLAME SEEDLESS/ SUGRASIXTEEN,GRAPES
RFT,REGAL SEEDLESS/FLAME SEEDLESS/ SUGRATHIRTEEN,GRAPES
RIF,REGAL SEEDLESS/IFG 68-175 (SWEET CELEBRATION™),GRAPES
RRM,REGAL SEEDLESS/RALLI SEEDLESS,GRAPES
S3R,REGAL SEEDLESS/SHEEGENE 3 (MAGENTA™),GRAPES
R12,REGAL SEEDLESS/SHEEGENE12 (KRISSY™),GRAPES
RS3,REGAL SEEDLESS/STARLIGHT,GRAPES
RS9,REGAL SEEDLESS/SUGRANINETEEN,GRAPES
RSX,REGAL SEEDLESS/SUGRASIXTEEN,GRAPES
RST,REGAL SEEDLESS/SUGRATHIRTEEN,GRAPES
RSU,REGAL SEEDLESS/SUNRED SEEDLESS,GRAPES
RTS,REGAL SEEDLESS/THOMPSON SEEDLESS/SUNRED SEEDLESS,GRAPES
RON,RONELLE,GRAPES
RRR,RONELLE/RALLI SEEDLESS,GRAPES
RDN,ROSIDAWN,GRAPES
SGA,ROSIDAWN/SUGRAONE,GRAPES
RDA,ROSIDAWN/THOMPSON SEEDLESS,GRAPES
RBM,ROYAL BLOOM ,GRAPES
RBS,RUBISTAR,GRAPES
SLB,SALBA,GRAPES
SCD,SCARLET DEW,GRAPES
SCY,SCARLET ROYAL,GRAPES
G02,SHEEGENE 2,GRAPES
SH2,SHEEGENE 2/BLAGRATWO,GRAPES
S2G,SHEEGENE 2/SUGRATHIRTEEN ,GRAPES
TIP,SHEEGENE 2 (TIMPSON™),GRAPES
SGY,SHEEGENE 2 (TIMPSON™)BLAGRATWO (MELODY™),GRAPES
TCC,SHEEGENE 2 (TIMPSON™)/CARMINE CRUNCH,GRAPES
S2D,SHEEGENE 2 (TIMPSON™) / DESERT,GRAPES
S2V,SHEEGENE 2 (TIMPSON™)/EVANS DELIGHT.,GRAPES
S2F,SHEEGENE 2 (TIMPSON™)/FLAME SEEDLESS,GRAPES
ITF,SHEEGENE 2 (TIMPSON)™/ ICON (FireStar™),GRAPES
TSC,SHEEGENE 2 (TIMPSON™)/IFG 68-175(SWEET CELEBRATION™),GRAPES
TPI,SHEEGENE 2 (TIMPSON™)/IFG EIGHTEEN (SWEET NECTAR™),GRAPES
SQR,SHEEGENE 2 (TIMPSON™)/ QUEEN RUBY,GRAPES
S2R,SHEEGENE 2 (TIMPSON™)/RALLI SEEDLESS,GRAPES
SIT,SHEEGENE 2 (TIMPSON™)/SHEEGENE 3 (MAGENTA™),GRAPES
S2K,SHEEGENE 2 (TIMPSON™)/SHEEGENE 12(KRISSY™,GRAPES
S2T,SHEEGENE 2 (TIMPSON™)/STARLIGHT,GRAPES
S2N,SHEEGENE 2 (TIMPSON™)/SUGRASIXTEEN,GRAPES
TPN,SHEEGENE 2 (TIMPSON™)/SUGRANINETEEN ,GRAPES
TSE,SHEEGENE 2 (TIMPSON™)/SHEEGENE 20 (ALLISON™),GRAPES 
S2S,SHEEGENE 2 (TIMPSON™)/SUGRATHIRTEEN/(MIDNIGHT BEAUTY®),GRAPES
GE2,SHEEGENE 2 (TIMPSON™)/SUGRASIXTEEN (SABLE SEEDLESS®),GRAPES
TIU,SHEEGENE 2 (TIMPSON™)/SUGRAFIFTYTHREE (RUBY RUSH®),GRAPES
TIW,SHEEGENE 2(TIMPSON™)/TAWNY SEEDLESS,GRAPES
G03,SHEEGENE 3,GRAPES
MGT,SHEEGENE 3 (MAGENTA™),GRAPES
SMI,SHEEGENE 3 (MAGENTA™)/ IFG TEN (SWEET GLOBE™) ,GRAPES
MLI,SHEEGENE 9,GRAPES
S12 ,SHEEGENE 12,GRAPES
GFN,SHEEGENE 12/IFG TEN,GRAPES
KRI,SHEEGENE 12 (KRISSY™),GRAPES
G13,SHEEGENE 13,GRAPES
GTN,SHEEGENE 13/IFG TEN,GRAPES
TIM,SHEEGENE 13 (TIMCO™),GRAPES
TAF,SHEEGENE 13 (TIMCO™) / ARRAFIFTEEN ,GRAPES
TAA,SHEEGENE 13 (TIMCO™) / ARRAFIFTEEN (ARRA SWEETIES™) ,GRAPES
TIS,SHEEGENE 13 (TIMCO™)/IFG SEVEN (COTTON CANDY™),GRAPES
NOC,SHEEGENE 13 (TIMCO™)/NAVSEL 1,GRAPES
SHT,SHEEGENE 13 (TIMCO™)/SUGRATHIRTYFIVE(AUTUMNCRISP®),GRAPES
HEE,SHEEGENE 13 (TIMCO™)/SHEEGENE 2 (TIMPSON™),GRAPES
G17,SHEEGENE 17 (GREAT GREEN™),GRAPES
LLY,SHEEGENE 18 (KELLY™),GRAPES
G20,SHEEGENE 20,GRAPES
ALI,SHEEGENE 20 (ALLISON™),GRAPES
SEI,SHEEGENE 20 (ALLISON™)/ARRAFIFTEEN (ARRA SWEETIES™),GRAPES
SIE,SHEEGENE 20 (ALLISON™)/IFG ELEVEN (SUGAR CRISP™),GRAPES
NAA,SHEEGENE 20 (ALLISON™)/NAVSEL 1,GRAPES
ALS,SHEEGENE 20 (ALLISON™)/SUGRANINETEEN (SCARLOTTA SEEDLESS®),GRAPES
HHI,SHEEGENE 20 (ALLISON™)/SHEEGENE 21 (IVORY™),GRAPES
G21,SHEEGENE 21,GRAPES
SGF,SHEEGENE 21 /IFG68-175(SWEET CELEBRATION™) ,GRAPES
FSE,SHEEGENE 21/FLAME SEEDLESS ,GRAPES
ENE,SHEEGENE 21/SHEEGENE 3,GRAPES
IVO,SHEEGENE 21 (IVORY™),GRAPES
HIE,SHEEGENE 21 (IVORY™)/ARRATHIRTEEN (ARRA PASSION STAR™) ,GRAPES
IYA,SHEEGENE 21 (IVORY™)/ARRATWENTYNINE,GRAPES
AYN,SHEEGENE 21 (IVORY™)/ARRATWENTYNINE (ARRA PASSION FIRE™),GRAPES
IED,SHEEGENE 21(IVORY™)/EVANS DELIGHT,GRAPES
SIV,SHEEGENE 21 (IVORY™)/IFG 68-175(SWEET CELEBRATION™),GRAPES
SIJ,SHEEGENE 21 (IVORY™)/IFG SEVENTEEN (SWEET JOY™),GRAPES
SVW,SHEEGENE 21(IVORY™)/IFG EIGHTEEN (SWEET NECTAR™),GRAPES
SFV,SHEEGENE 21 (IVORY™)ICON (FIRESTAR™),GRAPES
SYF,SHEEGENE 21 (IVORY™)/FLAME SEEDLESS,GRAPES
VOR,SHEEGENE 21(IVORY™)/SHEEGENE 3(MAGENTA™) ,GRAPES
SSK,SHEEGENE 21 (IVORY™)/ SHEEGENE 12 (KRISSY™),GRAPES
TVO ,SHEEGENE 21 (IVORY™)/SHEEGENE 13 (TIMCO™),GRAPES
VST,SHEEGENE 21 (IVORY™)/SUGRATHIRTEEN (MIDNIGHT BEAUTY®),GRAPES
IVU,SHEEGENE 21 (IVORY™) / SUGRAFIFTYTHREE (RUBY RUSH®),GRAPES
ITL,SHEEGENE 21 (IVORY™)/STARLIGHT,GRAPES
IVT,SHEEGENE 21 (IVORY™)/TAWNY SEEDLESS ,GRAPES
GTL,SHEEGENE 21/STARLIGHT,GRAPES
IGU,SHEEGENE 21 / SUGRAFIFTYTHREE (RUBY RUSH®),GRAPES
TWS,SHEEGENE 21/TAWNY SEEDLESS ,GRAPES
S21,SHEEGENE 21/SUGRATHIRTEEN ,GRAPES
SXS,SHEEGENE 21/SUGRASIXTEEN,GRAPES
SHC,SHEEGENE 25 (CARLITA™),GRAPES
SHR,SHIRAZ,GRAPES
STA,SONITA,GRAPES
STL,STARLIGHT,GRAPES
SES,STARLIGHT/GRAPAES(EARLY SWEET™),GRAPES
SSD,SUGRAONE,GRAPES
SGO,SUGRAONE (SUPERIOR SEEDLESS®) ,GRAPES
SIC,SUGRAONE (SUPERIOR SEEDLESS®)/IFG TWENTY (CANDY CRUNCH™),GRAPES
S1T,SUGRAONE (SUPERIOR SEEDLESS®)/TAWNY SEEDLESS ,GRAPES
SU5,SUGRAONE (SUPERIOR SEEDLESS®)/SUGRAFIFTYTHREE,GRAPES
SEF,SUGRAONE/ GRAPAES (EARLY SWEET™),GRAPES
SMC,SUGRAONE/CERISE,GRAPES
SCM,SUGRAONE/CRIMSON SEEDLESS,GRAPES
MDO,SUGRAONE/DESERT,GRAPES
SFM,SUGRAONE/FLAME SEEDLESS,GRAPES
SFX,SUGRAONE/FLAME SEEDLESS/SUGRASIXTEEN,GRAPES
SF7,SUGRAONE/FLAMESEEDLESS/THOMPSON SEEDLESS,GRAPES
SGJ,SUGRAONE/IFG NINE (JACK'S SALUTE™),GRAPES
SIF,SUGRAONE/IFG NINETEEN (CANDY HEARTS™),GRAPES
SEB,SUGRAONE/IFG 68-175(SWEET CELEBRATION™),GRAPES
SRA,SUGRAONE/RALLI SEEDLESS,GRAPES
SRX,SUGRAONE/REDGLOBE,GRAPES
12S,SUGRAONE/SHEEGENE 12 (KRISSY™),GRAPES
STI,SUGRAONE/SHEEGENE 13(TIMCO™) ,GRAPES
S3S,SUGRAONE/SHEEGENE 3 (MAGENTA™),GRAPES
SGH,SUGRAONE/STARLIGHT,GRAPES
SS9,SUGRAONE/SUGRANINETEEN,GRAPES
SSI,SUGRAONE/SUGRASIXTEEN,GRAPES
SOT,SUGRAONE/SUGRATHIRTEEN,GRAPES
SNM,SUGRAONE/SUGRATHIRTEEN(MIDNIGHT BEAUTY®),GRAPES
SFH,SUGRAONE/SUGRATHIRTEEN/ FLAME SEEDLESS/STARLIGHT,GRAPES
SUS,SUGRAONE/SUGRATHIRTEEN/FLAME SEEDLESS,GRAPES
SSM,SUGRAONE/SUNRED SEEDLESS,GRAPES
SAW,SUGRAONE/TAWNY SEEDLESS,GRAPES
COA,SUGRATWELVE,GRAPES
SGV,SUGRATWELVE (COACHELLA SEEDLESS®),GRAPES
SFS,SUGRATWELVE/FLAME SEEDLESS,GRAPES
KRW,SUGRATWELVE/SHEEGENE 12 (KRISSY™),GRAPES
SS2,SUGRATWELVE/STARLIGHT,GRAPES
SGX,SUGRATWELVE/SUGRATHIRTEEN,GRAPES
MNB,SUGRATHIRTEEN,GRAPES
SGT,SUGRATHIRTEEN (MIDNIGHT BEAUTY®),GRAPES
SRF,SUGRATHIRTEEN (MIDNIGHT BEAUTY®)/ARRAFIFTEEN (ARRA SWEETIES™),GRAPES
SSR,SUGRATHIRTEEN /SUNRED SEEDLESS / REGAL SEEDLESS,GRAPES
HEO,SUGRATHIRTEEN/CERISE/SUGRAONE,GRAPES
SSC,SUGRATHIRTEEN/CRIMSON SEEDLESS/ SUNDANCE SEEDLESS,GRAPES
HCR,SUGRATHIRTEEN/CRIMSON SEEDLESS/REGAL SEEDLESS,GRAPES
HCT,SUGRATHIRTEEN/CRIMSON SEEDLESS/THOMPSON SEEDLESS,GRAPES
SUF,SUGRATHIRTEEN/FLAME SEEDLESS/ REGAL SEEDLESS,GRAPES
SFT,SUGRATHIRTEEN/FLAME SEEDLESS/ THOMPSON SEEDLESS,GRAPES
STO,SUGRATHIRTEEN/SUNRED SEEDLESS/ SUGRAONE,GRAPES
SUT,SUGRATHIRTEEN/SUNRED SEEDLESS/ THOMPSON SEEDLESS,GRAPES
SGM,SUGRATHIRTEEN/SUNRED SEEDLESS/SUNDANCE SEEDLESS,GRAPES
THT,SUGRATHIRTEEN/THOMPSON SEEDLESS,GRAPES
SBS,SUGRASIXTEEN,GRAPES
SGS,SUGRASIXTEEN (SABLE SEEDLESS®),GRAPES
ESS,SUGRASIXTEEN (SABLE SEEDLESS®)/PRIME ,GRAPES
SXA ,SUGRASIXTEEN (SABLE SEEDLESS®)/SUGRATHIRTYFIVE(AUTUMNCRISP®),GRAPES
UGS,SUGRASIXTEEN (SABLE SEEDLESS®)/SUNDANCE SEEDLESS,GRAPES
SXT,SUGRASIXTEEN (SABLE SEEDLESS®)/THOMPSON SEEDLESS,GRAPES
SSV,SUGRASIXTEEN (SABLE SEEDLESS®)/SHEEGENE 21 (IVORY™) ,GRAPES
SXI,SUGRASIXTEEN/IFG TEN(SWEET GLOBE™),GRAPES
XRI,SUGRASIXTEEN/REGAL SEEDLESS/ IFG TEN (SWEET GLOBE™),GRAPES
SRR,SUGRASIXTEEN/REGAL SEEDLESS/ SUNRED SEEDLESS,GRAPES
STM,SUGRASIXTEEN/THOMPSON SEEDLESS,GRAPES
TIV,SUGRASIXTEEN/THOMPSON SEEDLESS/ SHEEGENE 21 (IVORY™) ,GRAPES
SIY,SUGRASIXTEEN/SHEEGENE 21 (IVORY™) ,GRAPES
SLA,SUGRANINETEEN,GRAPES
SA9,SUGRANINETEEN/AUTUMN ROYAL,GRAPES
SUU,SUGRANINETEEN/SUGRATHIRTYFIVE,GRAPES
SVI,SUGRANINETEEN/SHEEGENE 21(IVORY™),GRAPES
SGE,SUGRANINETEEN (SCARLOTTA SEEDLESS®),GRAPES
GGE,SUGRANINETEEN (SCARLOTTA SEEDLESS®)/IFG TEN (SWEET GLOBE™),GRAPES
SUE,SUGRANINETEEN / SUNDANCE SEEDLESS,GRAPES
SGW,SUGRATWENTYTHREE,GRAPES
G31,SUGRATHIRTYONE,GRAPES
AAS,SUGRATHIRTYFOUR,GRAPES
S34,SUGRATHIRTYFOUR (ADORA SEEDLESS®),GRAPES
BMS,SUGRATHIRTYFOUR (MIDNIGHT BEAUTY®),GRAPES
TNT,SUGRATHIRTYFOUR (ADORA SEEDLESS®) / SUGRATHIRTYFIVE (AUTUMNCRISP®),GRAPES
TAS,SUGRATHIRTYFOUR/THOMPSON SEEDLESS,GRAPES
SYA,SUGRATHIRTYFIVE/SHEEGENE 20 (ALLISON™),GRAPES
AUP,SUGRATHIRTYFIVE,GRAPES
S35,SUGRATHIRTYFIVE (AUTUMNCRISP®),GRAPES
SSJ,SUGRATHIRTYFIVE (AUTUMNCRISP®)/IFG SEVENTEEN (SWEETJOY™),GRAPES
SBF,SUGRATHIRTYFIVE (AUTUMNCRISP®)/IFG THIRTY-SEVEN(BEPOP™),GRAPES
SAK,SUGRATHIRTYFIVE (AUTUMNCRISP®)/ SHEEGENE 12 (KRISSY™),GRAPES
SFN,SUGRATHIRTYFIVE (AUTUMNCRISP®)/SUGRANINETEEN (SCARLOTTA SEEDLESS®),GRAPES
SFB,SUGRATHIRTYFIVE (AUTUMNCRISP®)/SUGRATHIRTEEN (MIDNIGHT BEAUTY®),GRAPES
SSS,SUGRATHIRTYFIVE (AUTUMNCRISP®)/SUGRATHIRTYEIGHT(SONERA SEEDLESS®),GRAPES
GAC,SUGRATHIRTYFIVE (AUTUMNCRISP®)/SUNRED SEEDLESS,GRAPES
TSA,SUGRATHIRTYFIVE (AUTUMNCRISP®)/TAWNY SEEDLESS,GRAPES
SB2,SUGRATHIRTYFIVE(AUTUMNCRISP®)/BLAGRATWO (MELODY™),GRAPES
SAU,SUGRATHIRTYFIVE(AUTUMNCRISP®)/CRIMSON SEEDLESS,GRAPES
S5L,SUGRATHIRTYFIVE(AUTUMNCRISP®)/SHEEGENE 20 (ALLISON™),GRAPES
S3M,SUGRATHIRTYFIVE(AUTUMNCRISP®)/SHEEGENE 3 (MAGENTA™),GRAPES
S5T,SUGRATHIRTYFIVE/TAWNY SEEDLESS,GRAPES
S36,SUGRATHIRTYSIX,GRAPES
SLP,SUGRATHIRTYEIGHT,GRAPES
S38,SUGRATHIRTYEIGHT (SONERA SEEDLESS®),GRAPES
STN,SUGRATHIRTYNINE,GRAPES
S48,SUGRAFORTYEIGHT,GRAPES
SDD,SUGRAFORTYEIGHT (ADORA SEEDLESS®),GRAPES
SMB,SUGRAFORTYEIGHT (MIDNIGHT BEAUTY®),GRAPES
SUO,SUGRAFIFTYFOUR,GRAPES
GAS,SUGRAFIFTYFOUR(APPLAUSE™)/SHEEGENE 13(TIMCO™),GRAPES
FSG,SUGRAFIFTYFOUR(APPLAUSE™)/SHEEGENE 20(ALLISON™),GRAPES
APP,SUGRAFIFTYFOUR(APPLAUSE™)/IFG 68-175(SWEET CELEBRATION™),GRAPES
S53,SUGRAFIFTYTHREE,GRAPES
GFF,SUGRAFIFTYTHREE/GRAPAES,GRAPES
SPY,SUGRAFIFTYTHREE/GRAPAES(EARLY SWEET™),GRAPES
SLY,SUGRAFIFTYTHREE(RUBY RUSH™)GRAPAES(EARLY SWEET™),GRAPES
FGC,SUGRAFIFTYTHREE/IFG ELEVEN (SUGAR CRISP™) ,GRAPES
PSA,SUGRAFIFTYTHREE/PRIME,GRAPES
GUU,SUGRAFIFTYTHREE (RUBY RUSH™),GRAPES
RUR,SUGRAFIFTYTHREE(RUBY RUSH™)PRIME ,GRAPES
S54,SUGRAFIFTYFOUR,GRAPES
USE,SUGRAFIFTYFOUR(APPLAUSE™),GRAPES
S55,SUGRA55,GRAPES
G56,SUGRAFIFTYSIX,GRAPES
FIF,SUGRAFIFTYSIX(EPIC CRISP™),GRAPES
TFS,SUGRAFIFTYSIX(EPIC CRISP™)/SHEEGENE 13(TIMCO™),GRAPES
SXL,SUGRAFIFTYSIX(EPIC CRISP™)/SHEEGENE 20(ALLISON™),GRAPES
SXC,SUGRAFIFTYSIX(EPIC CRISP™)/IFG 68-175(SWEET CELEBRATION™),GRAPES
SMO,SUMMER ROYAL,GRAPES
SC3,SUNDANCE SEEDLESS/IFG 104-253 (SWEET SUNSHINE™),GRAPES
SDC,SUNDANCE SEEDLESS,GRAPES
SAC,SUNDANCE SEEDLESS /AUTUMN ROYAL/CRIMSON SEEDLESS,GRAPES
SDI,SUNDANCE SEEDLESS/ IFG SEVENTEEN (SWEET JOY™),GRAPES
SCC,SUNDANCE SEEDLESS/ IFG TWENTY (CANDY CRUNCH™),GRAPES
RMB,SUNDANCE SEEDLESS/ARRAFOURTEENONE (ARRA MYSTIC BLOOM™),GRAPES
SSB,SUNDANCE SEEDLESS/BLAGRATWO,GRAPES
SBM,SUNDANCE SEEDLESS/BLAGRATWO (MELODY™),GRAPES
MSC,SUNDANCE SEEDLESS/CRIMSON SEEDLESS,GRAPES
MSF,SUNDANCE SEEDLESS/FLAME SEEDLESS,GRAPES
SLC,SUNDANCE SEEDLESS/IFG 68-175 (SWEET CELEBRATION™),GRAPES
SS6,SUNDANCE SEEDLESS/IFG SIX (SWEET SAPPHIRE™),GRAPES
MSR,SUNDANCE SEEDLESS/RALLI SEEDLESS,GRAPES
MSW,SUNDANCE SEEDLESS/REGAL SEEDLESS,GRAPES
SDK,SUNDANCE SEEDLESS/SHEEGENE 12 (Krissy™),GRAPES
SUC,SUNDANCE SEEDLESS/SHEEGENE 13 (TIMCO™),GRAPES
SSA,SUNDANCE SEEDLESS/SHEEGENE 20 (ALLISON™),GRAPES
SDG,SUNDANCE SEEDLESS/STARLIGHT,GRAPES
SDS,SUNDANCE SEEDLESS/SUGRATHIRTEEN,GRAPES
SDY,SUNDANCE SEEDLESS/TAWNY SEEDLESS,GRAPES
SLE,SUNDELA,GRAPES
SRS,SUNRED SEEDLESS,GRAPES
SS3,SUNRED SEEDLESS/SUGRATHIRTEEN,GRAPES
SSU,SUNRED SEEDLESS/SUNDANCE SEEDLESS,GRAPES
SSL,SWEET SCARLET,GRAPES
TAW,TAWNY SEEDLESS,GRAPES
ITE,TAWNY SEEDLESS/IFG TEN,GRAPES
TIE,TAWNY SEEDLESS/ IFG TEN (SWEET GLOBE™),GRAPES
MTR,TAWNY SEEDLESS/REGAL SEEDLESS,GRAPES
THS,THOMPSON SEEDLESS,GRAPES
THP,THOMPSON SEEDLESS/ARRATHIRTEEN(ARRA PASSION STAR™) ,GRAPES
TSB,THOMPSON SEEDLESS/BLAGRATWO (MELODY™),GRAPES
TBV,THOMPSON SEEDLESS/BLACK VELVET,GRAPES
CTM,THOMPSON SEEDLESS/CERISE,GRAPES
TMC,THOMPSON SEEDLESS/CRIMSON SEEDLESS,GRAPES
MDT,THOMPSON SEEDLESS/DESERT,GRAPES
TFM,THOMPSON SEEDLESS/FLAME SEEDLESS,GRAPES
TST,THOMPSON SEEDLESS/IFG 68-175 (SWEET CELEBRATION™),GRAPES
THJ,THOMPSON SEEDLESS/IFG NINE (JACK'S SALUTE™),GRAPES
TPM,THOMPSON SEEDLESS/PRIME,GRAPES
TRM,THOMPSON SEEDLESS/RALLI SEEDLESS,GRAPES
TRC,THOMPSON SEEDLESS/REDGLOBE/ CRIMSON SEEDLESS,GRAPES
TSD,THOMPSON SEEDLESS/SCARLET DEW,GRAPES
T12,THOMPSON SEEDLESS/SHEEGENE 12 (KRISSY™),GRAPES
TCS,THOMPSON SEEDLESS/SHEEGENE 13 (TIMCO™),GRAPES
TSG,THOMPSON SEEDLESS/SHEEGENE 20 (ALLISON™),GRAPES
TS3,THOMPSON SEEDLESS/SHEEGENE 3 (MAGENTA™),GRAPES
TSS,THOMPSON SEEDLESS/STARLIGHT,GRAPES
TS9,THOMPSON SEEDLESS/SUGRANINETEEN,GRAPES
TTS,THOMPSON SEEDLESS/SUGRAONE,GRAPES
TSM,THOMPSON SEEDLESS/SUNRED SEEDLESS,GRAPES
TSW,THOMPSON SEEDLESS/TAWNY SEEDLESS,GRAPES
TRD,TROPICAL DELIGHT,GRAPES
VIC,VICTORIA,GRAPES
VDM,VICTORIA/DAN BEN HANNAH,GRAPES
VL1,VOL 103,GRAPES
V31,VOLCANI 31,GRAPES
V33,VOLCANI 33,GRAPES
V49,VOLCANI 49,GRAPES
V56,VOLCANI 56,GRAPES
V83,VOLCANI 83,GRAPES
V01,VOLCANI 101,GRAPES
VL3,VOLCANI 103,GRAPES
V04,VOLCANI 104,GRAPES
V07,VOLCANI 107,GRAPES
V08,VOLCANI 108,GRAPES
V10,VOLCANI 110,GRAPES
V57,VOLCANI 157,GRAPES
V02,VOLCANI 202,GRAPES
VC3,VOLCANI 83 (1387),GRAPES
VC2,VOLCANI 202 (1829),GRAPES
VC9,VOLCANI159 (1458),GRAPES
VC5,VOLCANI 154 (1360),GRAPES
VC4,VOLCANI 104 (1589),GRAPES
VC8,VOLCANI 180 (1743),GRAPES
VC6,VOLCANI 162 (1782),GRAPES
VA7,VARO207,GRAPES
V14,VARO214,GRAPES
V19,VARO219,GRAPES
V25,VARO225,GRAPES
V27,VARO227,GRAPES
V41,VARO241,GRAPES
WHX,WALTHAM CROSS,GRAPES
WBA,WALTHAM CROSS/BARLINKA,GRAPES
WHB,WALTHAM CROSS/BONHEUR,GRAPES
WLA,WALTHAM CROSS/LA ROCHELLE,GRAPES
WGM,WHITE GEM,GRAPES
